Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
B4_C_PSEMEN_T2_seedling,P,Point,,,,,-113.94459410,46.75341319,1177.930,Global,1.1,0.013,0.012,0.012,0.018,2.134,m,FIX,RTK,2025-09-18 08:45:55.6 UTC-07:00,2025-09-18 08:45:59.6 UTC-07:00,21,1.3,1.6,,,,-114.01634699,46.67371430,1095.541,10423.072,MP15774,Global CS,8,7,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_C_PICENG_adult1,P,Point,,,,test,-113.94455376,46.75337679,1178.242,Global,4.2,0.016,0.014,0.027,0.021,2.134,m,FIX,RTK,2025-09-18 08:52:28.0 UTC-07:00,2025-09-18 08:52:32.0 UTC-07:00,21,1.9,2.4,,,,-114.01634699,46.67371430,1095.541,10421.373,MP15774,Global CS,8,6,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_C_PINCON_R1,P,Point,,,,,-113.94452759,46.75355244,1177.775,Global,12.0,0.016,0.015,0.019,0.022,2.134,m,FIX,RTK,2025-09-18 08:57:46.6 UTC-07:00,2025-09-18 08:57:50.6 UTC-07:00,21,1.6,1.9,,,,-114.01634699,46.67371430,1095.541,10438.996,MP15774,Global CS,7,7,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_C_PSEMEN_adult3,P,Point,,,,,-113.94451237,46.75354834,1177.900,Global,4.9,0.014,0.013,0.016,0.020,2.134,m,FIX,RTK,2025-09-18 08:58:54.2 UTC-07:00,2025-09-18 08:58:58.2 UTC-07:00,21,1.7,2.1,,,,-114.01634699,46.67371430,1095.541,10439.107,MP15774,Global CS,7,6,6,3,0,Reach RS3,82438e9b89ed77dd,
B4_C_PINCON_R2,P,Point,,,,,-113.94451670,46.75358699,1177.620,Global,1.3,0.013,0.013,0.021,0.018,2.134,m,FIX,RTK,2025-09-18 09:04:59.8 UTC-07:00,2025-09-18 09:05:03.8 UTC-07:00,21,1.6,2.0,,,,-114.01634699,46.67371430,1095.541,10442.639,MP15774,Global CS,7,5,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_C_PSEMEN_adult4,P,Point,,,,,-113.94450626,46.75359648,1177.728,Global,8.3,0.014,0.015,0.020,0.020,2.134,m,FIX,RTK,2025-09-18 09:06:09.4 UTC-07:00,2025-09-18 09:06:13.4 UTC-07:00,20,1.5,1.8,,,,-114.01634699,46.67371430,1095.541,10443.992,MP15774,Global CS,7,6,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_C_PSEMEN_adult5,P,Point,,,,,-113.94449897,46.75360920,1177.740,Global,18.4,0.016,0.016,0.024,0.023,2.134,m,FIX,RTK,2025-09-18 09:06:25.2 UTC-07:00,2025-09-18 09:06:29.2 UTC-07:00,21,1.9,2.3,,,,-114.01634699,46.67371430,1095.541,10444.936,MP15774,Global CS,7,6,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_G_PSEMEN_adult1,P,Point,,,,,-113.94447781,46.75368037,1177.593,Global,2.9,0.013,0.013,0.018,0.018,2.134,m,FIX,RTK,2025-09-18 09:08:06.8 UTC-07:00,2025-09-18 09:08:10.8 UTC-07:00,21,1.6,1.9,,,,-114.01634699,46.67371430,1095.541,10453.121,MP15774,Global CS,7,6,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_G_PSEMEN_adult2,P,Point,,,,,-113.94446435,46.75367586,1177.564,Global,7.6,0.014,0.015,0.021,0.021,2.134,m,FIX,RTK,2025-09-18 09:08:25.4 UTC-07:00,2025-09-18 09:08:29.4 UTC-07:00,21,1.4,1.7,,,,-114.01634699,46.67371430,1095.541,10453.410,MP15774,Global CS,7,6,6,4,0,Reach RS3,82438e9b89ed77dd,
B4_C_PSEMEN_S2_seedling,P,Point,,,,,-113.94458630,46.75342930,1178.081,Global,,0.012,0.011,0.020,0.016,2.134,m,FIX,RTK,2025-09-24 09:08:43.6 UTC-07:00,2025-09-24 09:08:47.6 UTC-07:00,21,1.6,1.9,,,,-114.01634699,46.67371430,1095.541,10424.937,MP15774,Global CS,9,6,4,5,0,Reach RS3,8243531e90cdfec1,
